x,y,corr_ratio
owner_team_name,year,0.008178608201056875
owner_team_name,week,0.008455196675996007
owner_team_name,score,0.1970685416148429
owner_team_name,win,0.16875367392705837
owner_team_name,opp_score,0.11237284508016589
owner,year,0.008178608201056875
owner,week,0.008455196675996007
owner,score,0.1970685416148429
owner,win,0.16875367392705837
owner,opp_score,0.11237284508016589
opp_owner_team_name,year,0.008178608201056875
opp_owner_team_name,week,0.008455196675996007
opp_owner_team_name,score,0.11237284508016589
opp_owner_team_name,win,0.16880687993048268
opp_owner_team_name,opp_score,0.1970685416148429
opp_owner,year,0.008178608201056875
opp_owner,week,0.008455196675996007
opp_owner,score,0.11237284508016589
opp_owner,win,0.16880687993048268
opp_owner,opp_score,0.1970685416148429
